text,main_category,Emotion
"No, aunt, no, no, why are you doing that?",disgust,disgust
"I have never thought about being unfaithful, until now.",surprise,sadness
"I don't understand it, Aunt.",sadness,fear
I do not recognize it.,sadness,fear
"The Geno is my boyfriend, Aunt.",neutral,anger
Error 500 (Server Error)!!1500.That’s an error.There was an error. Please try again later.That’s all we know.,anger,happiness
"I think it's not a trolley, aunt, like you.",sadness,disgust
If you go to the liar.,anger,fear
You have realized that you love her more than you think.,surprise,sadness
And you can't lose her and start your life without her.,fear,neutral
"Where is the most beautiful couple, huh?",neutral,sadness
Ours or not?,neutral,anger
"Tell me what happens, I haven't said anything.",anger,disgust
"Nico, Nico, you can't talk.",anger,neutral
"I think it's the perfect moment, I already tell you.",happiness,disgust
"No, it was a dust, it is a contact.",sadness,fear
I do not want to see me there looking at my dust of my life.,neutral,surprise
When was the last time you saw yourself?,neutral,neutral
And what happened among you?,neutral,disgust
I met Álvaro in a disco.,neutral,fear
Next to him we spent a night together.,happiness,disgust
David knows what there is.,neutral,anger
"We were not as a couple at that time,",neutral,sadness
We tell ourselves and period.,neutral,anger
"What hurts me is that my boyfriend will see him, uncle.",sadness,anger
How do you want you to be here?,sadness,fear
It hurts me.,sadness,anger
"Tests this connection with a person who,",neutral,surprise
I swear to God that either.,anger,sadness
"I really like it, every day.",happiness,fear
Are you getting carried away?,neutral,neutral
"I'm getting carried away by what I feel,",surprise,sadness
And I feel that I don't have to put my girlfriend or pussy games.,anger,surprise
I really like Moni.,happiness,fear
Sometimes I get angry because I don't entertain 100%.,anger,fear
"Boys, welcome to the bonfire.",happiness,anger
Álvaro was a turning point in my relationship.,happiness,surprise
"I am absolutely worried about anything because Maria laughs at him,",fear,surprise
"And he listens, he would be surreal.",sadness,fear
"But what cock, uncle.",anger,disgust
"I don't like them get to bed,",disgust,fear
Because under the sheets the night is very treacherous.,disgust,neutral
I don't think you want to make a blur and that's it.,anger,fear
I am like that.,neutral,disgust
I take you out of my life forever.,anger,surprise
"But I'm going to the clamp, I don't know what the hell he has seen,",sadness,fear
"Because he has not seen anything,",anger,happiness
And he is talking about some forms that I will not allow,anger,sadness
And I don't feel like being here.,sadness,sadness
Is it only Napoli who is looking for Ana?,neutral,neutral
"Yes, I see that it is.",surprise,fear
I shit in my fucking mother.,anger,disgust
"I shit in my mother fucking, uncle.",anger,disgust
You have both had sex,anger,sadness
on the island of temptations.,neutral,anger
So why are you so angry?,neutral,disgust
"Because I have done it, because she has struck him",sadness,fear
From the first day.,surprise,surprise
This is Beto's necklace.,surprise,surprise
"We have decided to veto Álvaro,",anger,fear
"because as they have had something before,",neutral,neutral
Maybe that's more dangerous.,fear,sadness
"Girls, welcome to the bonfire.",neutral,happiness
"What a disgust, son, how disgust!",disgust,anger
I shit on my rat!,anger,fear
That was my boyfriend!,anger,anger
"Have you seen her, my boyfriend?",sadness,fear
"What's going, uncle?",sadness,anger
What's going?,sadness,anger
"Let me, leave me, leave me!",anger,anger
"What dirty is this, uncle?",disgust,anger
What have I seen giving them a kiss and already?,sadness,sadness
"Marieta, please, I would like you to return to the bonfire.",fear,fear
"It is that the whores hands, male.",disgust,anger
That really sees me.,sadness,anger
"Marieta, please, take care of me.",happiness,happiness
You have to be patient.,neutral,fear
You haven't seen Álex images yet.,neutral,sadness
It is Maria's turn.,neutral,anger
You will have time to see them.,neutral,fear
"Try to be calm, please.",happiness,happiness
"I'm really sorry, Maria, I'm sorry.",sadness,disgust
"Sorry, my Álex.",sadness,anger
I'm sorry.,sadness,disgust
I don't know how to be.,sadness,fear
I love him very much.,sadness,disgust
"I'm sorry for this, no ...",sadness,disgust
"Maria, tell me, please,",neutral,happiness
What have these images like?,neutral,anger
I have already stayed ...,neutral,fear
Decolored by what we have seen from behind.,sadness,surprise
How do you see David?,neutral,fear
"Being David, he is having a great time.",happiness,sadness
"He loves the island of settlement, I believe.",happiness,disgust
Are you worried about the connection between David and Zahira?,neutral,neutral
"I worry, Sandra, that when I get here,",fear,disgust
I can't forgive him,sadness,disgust
"No matter how little that, according to him,",anger,anger
"Because yes, then he will say ...",anger,disgust
"No, if I haven't done anything, if I don't know what,",sadness,fear
I know him now.,surprise,fear
And the attitude he has is fucking a lot.,anger,neutral
There are more images for you.,neutral,disgust
With the child who wasting time.,anger,surprise
"No, don't ask me for forgiveness, Jordi, don't ask me for forgiveness.",anger,sadness
"Do not ask me forgiveness for this, never again.",anger,sadness
"He is crying, crying.",sadness,anger
"Oh, what's wrong to have it!",sadness,anger
Give me tickling like that.,happiness,anger
"Give me tickles, tell me.",happiness,anger
You are not in love in your life.,neutral,fear
"In pour, loose.",sadness,anger
"How delayed they are, uncle, is that ...",anger,neutral
"What a character, uncle.",anger,anger
Let him throw it out now.,anger,surprise
"If you have thrown it almost, what do you lack?",neutral,disgust
"What is missing, Sandra?",neutral,anger
"And then he says,",neutral,anger
Have you been in love with your life?,neutral,disgust
"And he tells him, no.",sadness,anger
So what are you doing here?,sadness,disgust
I don't want to cry for him more.,sadness,fear
"If you are not in love, what the hell is here?",sadness,disgust
And why tells me yes?,sadness,disgust
What do you lie for?,anger,disgust
"It is giving me a lot of disgust, a lot of sorrow and a lot.",disgust,surprise
But that is not the person I fell in love with.,sadness,fear
What are you doing?,sadness,disgust
"The fool is the one who does, the fool.",anger,surprise
And why does it do it to me?,sadness,surprise
He has the fucking chance to show you and does not do a ...,anger,surprise
"He will change me in his fucking life, uncle.",anger,fear
In his fucking life this uncle will change.,anger,fear
That he didn't have to have been with a boy like him.,anger,surprise
"I'm dumb in silly, kid.",anger,disgust
I love it.,happiness,fear
"Why are you like this, Maria?",sadness,disgust
I want nothing to scarce.,sadness,neutral
I think he is not aware of what he is doing,sadness,fear
"And when he is aware, he will take a fucking blow of reality",anger,surprise
And what I'm not going to do is eat this,happiness,disgust
"And I get out of here with him, I already tell you.",happiness,surprise
In my age I do not how more of any uncle.,sadness,disgust
I don't feel like it.,neutral,surprise
There are even more images for you.,neutral,sadness
"Wait, which is still that of the firleto.",sadness,neutral
"The same, as you take it, he will shit.",anger,fear
Because it will be missing Dominican Republic to run.,sadness,neutral
What have you put?,neutral,disgust
Is that moron the bear?,anger,anger
I'm saying it!,anger,disgust
What are you doing? She is doing it.,sadness,surprise
"What are you saying? No, aunt, no!",sadness,disgust
"Aunt, he does it for you. No, aunt, no, no!",anger,surprise
"She made it very clear,",surprise,surprise
They didn't want to play that fucking pelucho.,anger,surprise
He left it very clear.,neutral,happiness
Do you see? He doesn't know he touched me.,anger,surprise
He doesn't know that.,neutral,surprise
Did you like it?,neutral,surprise
Do not touch me.,disgust,anger
How romantic she is!,happiness,surprise
He doesn't know. Maria doesn't know.,neutral,surprise
"I don't care, Aunt, I don't care!",anger,fear
"If they have to fuck you, it's going to fuck you.",anger,fear
"I don't care, aunt!",anger,disgust
Why do you do that?,sadness,fear
"Why do you do that, aunt? What is my fucking stuffed!",anger,surprise
I understand you.,happiness,disgust
"Maria, why is that stuffed animal for you so important?",neutral,disgust
"Because yes, because David gave it to me",happiness,disgust
"And when I have been in Madrid, very bad.",sadness,fear
It has always accompanied me,happiness,sadness
And for me it has a lot of sentimental value.,happiness,surprise
And on top of that it carries a bracelet that is the one that I have.,happiness,surprise
And I don't want anyone to touch that stuffed animal.,anger,sadness
"He has not heard, he has not heard.",neutral,happiness
"He doesn't know, Maria.",neutral,surprise
"Already, I knew it!",surprise,disgust
"I understand you, but he is not blamed because he didn't know.",happiness,sadness
"If he had allowed it, I understand it,",happiness,neutral
But he doesn't know.,neutral,surprise
Do you think David knows that Zaira has touched your stuffed animal?,neutral,fear
Don't you know?,neutral,fear
I know I don't know.,sadness,fear
"Do you have name, that stuffed animal?",neutral,fear
"Yes, it's called Tree.",neutral,disgust
Who told me?,sadness,sadness
Tree or Alvarito?,sadness,sadness
His name is Alvarito.,neutral,anger
It would be good.,happiness,fear
And why is it called Tree?,neutral,anger
Because it is the first costume that David brought,neutral,anger
On the island of temptations,neutral,anger
"And my companions told him that it looked like a tree,",happiness,neutral
And the whole program was left with Tree.,happiness,neutral
"Then, when he gave it to me, I told him we would put a tree.",neutral,disgust
There are no more images for you.,neutral,disgust
I am not recognizing David.,sadness,fear
"It is not the David that I fell in love,",sadness,fear
He is not my boyfriend with whom I entered here,sadness,sadness
And I hope at the next bonfire,neutral,surprise
See that it does not continue in this same attitude.,sadness,sadness
Mariona is your turn.,neutral,anger
"In the previous bonfire,",neutral,anger
Adri's attitude with Eva left you absolutely out of time.,sadness,sadness
They made you feel a little fear.,fear,sadness
"Yes, Sandra, I really did not imagine it.",surprise,sadness
"The games yes, but everything that exceeds something that is not a game,",anger,disgust
"To me it is not even granted by Adri, nor imagined it.",sadness,sadness
There are images of Adri for you.,neutral,disgust
Do you want to see them alone or with your companions?,neutral,disgust
With my companions. Forward.,neutral,disgust
They are in the posts. All placing us before.,neutral,surprise
"Oh, ay. What she?",surprise,surprise
We get a surprise.,surprise,disgust
"¡Oh, oh, oh!",surprise,anger
Is it the same? Is it the same?,sadness,surprise
"No, that is not. It is another.",sadness,anger
"No, no, it's the same. That is Monica.",neutral,disgust
That? It is another. That is Monica.,neutral,neutral
Do you think it could be something ...?,neutral,disgust
I really like your mouth. Is that the dead moquita?,happiness,disgust
I am physically attracted to me.,happiness,disgust
"Today at the dance, for example ...",neutral,happiness
I am melting.,happiness,fear
Is the Seba or Monica?,sadness,disgust
"No, Monica. It is Monica.",neutral,disgust
Monica The one that goes white.,neutral,surprise
The one that goes white.,neutral,surprise
"¡Is, he's, he's!",happiness,anger
I see you.,neutral,fear
Thank you. Me too.,happiness,disgust
Let's Play!,happiness,anger
What does the ship say?,neutral,surprise
"I don't like it, I love it.",happiness,fear
Right now I am supercomodo.,neutral,disgust
But take off. I don't need more.,anger,fear
Back or to take impulse.,neutral,neutral
"Let's see, that it is clear.",sadness,anger
I am liked to.,neutral,disgust
"But what is this, uncle?",sadness,anger
Now they are all in love.,happiness,disgust
I am crazy.,happiness,fear
"Andrea already said, that dead mosquitoes.",sadness,fear
It has not been very clear to me who is who.,sadness,surprise
"Because I don't have them so seen,",sadness,fear
But all I see is that he changes.,neutral,fear
The girl of the images is Monica.,surprise,neutral
All the time was Monica.,surprise,neutral
The games ...,neutral,anger
"They do the same,",neutral,surprise
But when they talked ...,neutral,anger
