Sentence,Corrected Sentence,Translation,Student_Emotion,Pipeline_Emotion,Core_Pipeline_Emotion,Corrected_Emotion
"Heb je een vriend? Nee, ik heb geen vriend.","Heb je een vriend? Nee, ik heb geen vriend.",Do you have a friend? No I do not have a friend.,neutral,neutral,neutral,neutral
"Wil je een single? Ja, ik ben al vier jaar single.","Wil je een single? Ja, ik ben al vier jaar single.","Do you want a single? Yes, I've been single for four years.",neutral,neutral,neutral,neutral
Oh. Maar vind je dat...,Oh. Maar vind je dat...,Oh. But do you think that...,neutral,curiosity,neutral,neutral
"Bewust, niet bewust. Ik vind het goed dat het is.","Bewust, niet bewust. Ik vind het goed dat het is.","Consciously, not consciously. I think it's good that it is.",neutral,realization,surprise,neutral
Je gaat er ook niet naar opzoeken? Nee.,Je gaat er ook niet naar opzoeken? Nee.,You're not going to look for it either? No.,neutral,neutral,neutral,neutral
"Er staat wel voor open, maar het is niet.","Er staat wel voor open, maar het is niet.","It is open to it, but it is not.",neutral,confusion,sadness,sadness
Misschien is dat een oprecht om elkaar beter te herkennen.,Misschien is dat een oprecht om elkaar beter te herkennen.,Maybe that is a genuine way to recognize each other better.,neutral,optimism,happiness,neutral
"We gaan straks een quiz krijgen. Ja, oké.","We gaan straks een quiz krijgen. Ja, oké.","We're going to have a quiz later. Yes, okay.",neutral,excitement,happiness,neutral
Jij eerst.,Jij eerst.,You go first.,neutral,neutral,neutral,neutral
"Jij bent Sonja. Sonja, 26 jaar.","Jij bent Sonja. Sonja, 26 jaar.","You are Sonja. Sonja, 26 years old.",neutral,neutral,neutral,neutral
Van Antwerpen. Ja.,Van Antwerpen. Ja.,From Antwerp. Yes.,neutral,neutral,neutral,neutral
"Jij gaat niet naar KDG. Nee, ik ga naar AP.","Jij gaat niet naar KDG. Nee, ik ga naar AP.","You're not going to KDG. No, I'm going to AP.",neutral,neutral,neutral,neutral
Ik studeer lager onderwijs. Mijn laatste jaar.,Ik studeer lager onderwijs. Mijn laatste jaar.,I study primary education. My senior year.,neutral,pride,happiness,neutral
Laatste jaar? Ja.,Laatste jaar? Ja.,Last year? Yes.,neutral,neutral,neutral,neutral
"Jij bent mijn bijvrouw. Ja, ja.","Jij bent mijn bijvrouw. Ja, ja.",You are my concubine. Yes Yes.,neutral,amusement,happiness,happiness
Ik ben benieuwd.,Ik ben benieuwd.,I'm curious.,neutral,curiosity,neutral,neutral
Hij heeft sowieso mijn pin mee.,Hij heeft sowieso mijn pin mee.,He has my pin anyway.,neutral,neutral,neutral,neutral
"Let's go, let's go, let's go, let's go, let's go.","Let's go, let's go, let's go, let's go, let's go.","Let's go, let's go, let's go, let's go, let's go.",happiness,excitement,happiness,happiness
Ja.,Ja.,And.,neutral,neutral,neutral,neutral
Niet doen.,Niet doen.,Do not.,fear,disapproval,disgust,disgust
Ik ben de soulmate.,Ik ben de soulmate.,I am the soulmate.,neutral,joy,happiness,happiness
Bro!,Bro!,Bro!,surprise,joy,happiness,happiness
Ik hoop dat je er blij mee bent.,Ik hoop dat je er blij mee bent.,I hope you are happy with it.,happiness,caring,happiness,happiness
"Dank je, big brother.","Dank je, big brother.","Thank you, big brother.",happiness,gratitude,happiness,happiness
Ah!,Ah!,Ah!,surprise,surprise,surprise,surprise
Hij voelde het al kut. Hij kwam als enige met koffer.,Hij voelde het al kut. Hij kwam als enige met koffer.,He already felt bad. He was the only one who came with a suitcase.,sadness,sadness,sadness,sadness
Dat voelde hij al kut. Nu heeft hij ook nog geen duo.,Dat voelde hij al kut. Nu heeft hij ook nog geen duo.,He already felt bad about that. Now he doesn't have a duo yet either.,sadness,sadness,sadness,sadness
Dank je.,Dank je.,Thank you.,happiness,gratitude,happiness,happiness
Dat is moet.,Dat is moet.,That's a must.,neutral,approval,happiness,neutral
Dat is geen sleutel.,Dat is geen sleutel.,That's not a key.,neutral,disappointment,sadness,neutral
Hallo.,Hallo.,Hallo.,neutral,neutral,neutral,neutral
"Ja, is ook zo. Maar ja, ik ben een mens-mens, dus iedereen is anders.","Ja, is ook zo. Maar ja, ik ben een mens-mens, dus iedereen is anders.","Yes, that is true. But hey, I'm a human being, so everyone is different.",neutral,realization,surprise,neutral
Goed. Let's go.,Goed. Let's go.,Good. Let's go.,neutral,excitement,happiness,happiness
Let's go. Even stil.,Let's go. Even stil.,Let's go. Even stil.,neutral,excitement,happiness,happiness
Kitsune.,Kitsune.,Kitsune.,neutral,neutral,neutral,neutral
"Hype, hype.","Hype, hype.","Hype, hype.",happiness,excitement,happiness,happiness
Slecht.,Slecht.,Bad.,neutral,disapproval,disgust,neutral
Ja.,Ja.,And.,neutral,neutral,neutral,neutral
Zie ze.,Zie ze.,See them.,neutral,neutral,neutral,neutral
Ja.,Ja.,And.,neutral,neutral,neutral,neutral
Ja.,Ja.,And.,neutral,neutral,neutral,neutral
Die zit hier.,Die zit hier.,It's here.,neutral,realization,surprise,neutral
"Ja, die krijgt het wel, hè.","Ja, die krijgt het wel, hè.","Yeah, he'll get it, won't he?",neutral,optimism,happiness,happiness
"Ik had eigenlijk... Ja, ga wat uitdoen, gelijk.","Ik had eigenlijk... Ja, ga wat uitdoen, gelijk.","I actually… Yeah, go take something off, right.",neutral,realization,surprise,surprise
"Ik had gewoon... Ik denk inderdaad, laat het gewoon lekker uitdoen.","Ik had gewoon... Ik denk inderdaad, laat het gewoon lekker uitdoen.","I just... I think, just let it go.",neutral,acceptance,neutral,neutral
"Boeien, we zijn thuis.","Boeien, we zijn thuis.","Never mind, we're home.",neutral,relief,happiness,neutral
Maar de normen en waarden van ons...,Maar de normen en waarden van ons...,But the norms and values ​​of our...,neutral,neutral,neutral,neutral
"Ja, dat zijn allemaal bepaalde dingen.","Ja, dat zijn allemaal bepaalde dingen.","Yes, those are all certain things.",neutral,neutral,neutral,neutral
Zeg maar kammen in de keuken kan niet.,Zeg maar kammen in de keuken kan niet.,You can't just comb in the kitchen.,neutral,disapproval,disgust,disgust
Nee. Dat moet in de badkamer.,Nee. Dat moet in de badkamer.,No. That has to be in the bathroom.,neutral,approval,happiness,neutral
"Ja. Harenwassen in de keuken kan niet, zeg maar, onder de kraan.","Ja. Harenwassen in de keuken kan niet, zeg maar, onder de kraan.","Yes. You cannot wash your hair in the kitchen, say, under the tap.",neutral,disapproval,disgust,disgust
Ja. Dat is niet.,Ja. Dat is niet.,Yes. That is not.,neutral,disapproval,disgust,neutral
Dat moet hygiënisch schoon blijven. Ja.,Dat moet hygiënisch schoon blijven. Ja.,This must remain hygienically clean. Yes.,neutral,approval,happiness,neutral
Omdat er eten gemaakt wordt. Ja.,Omdat er eten gemaakt wordt. Ja.,Because food is made. Yes.,neutral,neutral,neutral,neutral
"Maar andersom ook. Als ik, zeg maar, merk dat jij ergens last van hebt...","Maar andersom ook. Als ik, zeg maar, merk dat jij ergens last van hebt...","But also the other way around. If, say, I notice that something is bothering you...",neutral,caring,happiness,happiness
dan zou ik de rekeningskap mee houden.,dan zou ik de rekening mee houden.,then I would take that into account.,neutral,caring,happiness,neutral
Dat jij niet in die situatie komt. Ja.,Dat jij niet in die situatie komt. Ja.,That you don't end up in that situation. Yes.,neutral,caring,happiness,happiness
En ik ook niet in die situatie kom. Ja.,En ik ook niet in die situatie kom. Ja.,And I don't get into that situation either. Yes.,neutral,relief,happiness,happiness
Snel naar de volgende bewoner.,Snel naar de volgende bewoner.,Quickly to the next resident.,neutral,excitement,happiness,happiness
Ze werkt in de horeca en op een basisschool.,Ze werkt in de horeca en op een basisschool.,She works in the catering industry and at a primary school.,neutral,neutral,neutral,neutral
Valt op spierbundels en wordt behoorlijk onvoorspelbaar als ze boos wordt.,Valt op spierbundels en wordt behoorlijk onvoorspelbaar als ze boos wordt.,She has a lot of muscle and becomes quite unpredictable when she gets angry.,neutral,fear,fear,fear
"Wat dat voor haar medebewoner zal betekenen, dat gaan we zien.","Wat dat voor haar medebewoner zal betekenen, dat gaan we zien.",We'll see what that will mean for her fellow resident.,neutral,curiosity,neutral,neutral
Sinds 26 jaar komt uit Antwerpen. Hier is Sonja.,Sinds 26 jaar komt uit Antwerpen. Hier is Sonja.,Comes from Antwerp for 26 years. Here's Sonja.,neutral,neutral,neutral,neutral
Hey.,Hey.,Hey.,neutral,neutral,neutral,neutral
"Sonja, welkom. Hallo.","Sonja, welkom. Hallo.","Sonja, welcome. Hello.",neutral,joy,happiness,happiness
Uit Antwerpen? Ja.,Uit Antwerpen? Ja.,From Antwerp? Yes.,neutral,neutral,neutral,neutral
"Klopt, klopt, klopt. Hoe gaat het?","Klopt, klopt, klopt. Hoe gaat het?","Right, right, right. How are you?",neutral,curiosity,neutral,neutral
Goed. Ik ben een beetje zenuwachtig. Waarom?,Goed. Ik ben een beetje zenuwachtig. Waarom?,Good. I'm a little bit nervous. Why?,neutral,nervousness,fear,fear
Omdat ik gewoon niet weet wat er gaat komen.,Omdat ik gewoon niet weet wat er gaat komen.,Because I just don't know what's coming.,neutral,fear,fear,fear
"Ik heb gehoord dat als jij boos wordt, het echt uit de hand kan lopen.","Ik heb gehoord dat als jij boos wordt, het echt uit de hand kan lopen.","I've heard that if you get angry, things can really get out of hand.",neutral,fear,fear,fear
Ja. Kan je daar iets meer uitleg over geven?,Ja. Kan je daar iets meer uitleg over geven?,Yes. Can you explain a little more about that?,neutral,curiosity,neutral,neutral
Ja. Ik probeer altijd wel rustig te blijven.,Ja. Ik probeer altijd wel rustig te blijven.,Yes. I always try to stay calm.,neutral,neutral,neutral,neutral
"Maar als het echt teveel wordt, als mijn glas vol wordt...","Maar als het echt teveel wordt, als mijn glas vol wordt...","But when it really gets too much, when my glass gets full...",neutral,anger,anger,anger
dan kan ik wel...,dan kan ik wel...,then I can...,neutral,anger,anger,neutral
We staan hier bij de familie en vrienden van Sonja.,We staan hier bij de familie en vrienden van Sonja.,We are here with Sonja's family and friends.,neutral,joy,happiness,happiness
De mooie karakter-eigenschappen van Sonja?,De mooie karakter-eigenschappen van Sonja?,Sonja's beautiful character traits?,neutral,admiration,happiness,neutral
Een heel groot hart. Ja.,Een heel groot hart. Ja.,A very big heart. Yes.,neutral,admiration,happiness,happiness
"En trouw. Trouw aan haar familie, trouw aan haar principes, trouw aan haar eigen waardes.","En trouw. Trouw aan haar familie, trouw aan haar principes, trouw aan haar eigen waardes.","And faithful. Loyal to her family, loyal to her principles, loyal to her own values.",neutral,admiration,happiness,happiness
Ik krijg toch ook net iets heel moois te horen.,Ik krijg toch ook net iets heel moois te horen.,I also just heard something very nice.,neutral,joy,happiness,happiness
Dat de band met mama zo groot en zo belangrijk is.,Dat de band met mama zo groot en zo belangrijk is.,That the bond with mom is so great and so important.,neutral,admiration,happiness,happiness
"Echt. Mijn mama, die zit daar, die is echt mijn nummer één.","Echt. Mijn mama, die zit daar, die is echt mijn nummer één.","Real. My mom, she's sitting there, she's really my number one.",neutral,love,happiness,happiness
"En ja, die ga ik ook het meeste missen. Echt het meeste.","En ja, die ga ik ook het meeste missen. Echt het meeste.","And yes, I will miss that the most. Really the most.",neutral,sadness,sadness,sadness
Maar het komt goed.,Maar het komt goed.,But it will be fine.,neutral,optimism,happiness,happiness
dat ze de koffer mee mag nemen?,dat ze de koffer mee mag nemen?,that she can take the suitcase with her?,neutral,curiosity,neutral,neutral
Ik denk van niet.,Ik denk van niet.,I do not think so.,neutral,disapproval,disgust,neutral
"Nee, die vraag zet ik me dus niet zo.","Nee, die vraag zet ik me dus niet zo.","No, I don't ask that question like that.",neutral,annoyance,anger,anger
Anders zou ik het niet brengen.,Anders zou ik het niet brengen.,Otherwise I wouldn't bring it.,neutral,neutral,neutral,neutral
"Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
Wacht even.,Wacht even.,Wait a second.,Neutral,anticipation,happiness,neutral
Gaat te snel in één keer.,Gaat te snel in één keer.,It's going too fast at once.,Neutral,nervousness,fear,fear
Ik hoop gewoon constant op fouten van de anderen.,Ik hoop gewoon constant op fouten van de anderen.,I just constantly hope for mistakes from the others.,Neutral,anticipation,happiness,neutral
"Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"Rustig, rustig.","Rustig, rustig.",Calm down.,Neutral,neutral,neutral,neutral
"Godver, we bewegen niet.","Godver, we bewegen niet.","Damn, we're not moving.",Anger,annoyance,anger,anger
"We moeten sneller, anders halen we het niet.","We moeten sneller, anders halen we het niet.",We have to go faster or we won't make it.,Neutral,nervousness,fear,fear
We moeten echt sneller. Rustig aan.,We moeten echt sneller. Rustig aan.,We really need to go faster. Slow down.,Neutral,confusion,sadness,sadness
Rustig. Rustig.,Rustig. Rustig.,Calm down.,Neutral,neutral,neutral,neutral
"Wacht, wacht, wacht. Je bent er bijna.","Wacht, wacht, wacht. Je bent er bijna.","Wait, wait, wait. You're almost there.",Neutral,anticipation,happiness,happiness
"Ik ga springen. Ja, doe.","Ik ga springen. Ja, doe.","I'm gonna jump. Yes, I will.",Neutral,determination,neutral,neutral
Ja!,Ja!,And!,Happiness,excitement,happiness,happiness
"Ja, dan sta je voor.","Ja, dan sta je voor.","Yes, then you are ahead.",Neutral,admiration,happiness,neutral
Dan hoor je de eerste cracks in het andere team.,Dan hoor je de eerste cracks in het andere team.,Then you hear the first cracks in the other team.,Neutral,satisfaction,happiness,neutral
Ik hoorde een beetje geschreeuw daar zelfs.,Ik hoorde een beetje geschreeuw daar zelfs.,I even heard a little screaming there.,Neutral,surprise,surprise,neutral
"Komaan, Bernard!","Komaan, Bernard!","Come on, Bernard!",Happiness,encouragement,happiness,happiness
Ik ben er!,Ik ben er!,I'm here!,Happiness,relief,happiness,happiness
Kom.,Kom.,Come on.,Neutral,encouragement,happiness,neutral
"Dan kijk ik naar die stokjes en denk ik, die hangen hoog.","Dan kijk ik naar die stokjes en denk ik, die hangen hoog.","Then I look at those sticks and I think, they are hanging high.",Neutral,realization,surprise,surprise
Dan kom ik daarbij.,Dan kom ik daarbij.,Then I come to that.,Neutral,neutral,neutral,neutral
"Yes! Lekker in het water komen, is dat.","Yes! Lekker in het water komen, is dat.",Yes! It's nice to get into the water.,Happiness,joy,happiness,happiness
Ik wil het gewoon heel goed doen.,Ik wil het gewoon heel goed doen.,I just want to do really well.,Neutral,desire,happiness,neutral
Ik wil mezelf nu even bewijzen dat ik dit kan.,Ik wil mezelf nu even bewijzen dat ik dit kan.,Now I just want to prove to myself that I can do this.,Neutral,determination,neutral,neutral
"Maar goed, ik ben wel een beetje zenuwachtig.","Maar goed, ik ben wel een beetje zenuwachtig.","Anyway, I'm a little nervous.",Fear,nervousness,fear,fear
Ja!,Ja!,And!,Happiness,neutral,neutral,happiness
Pak hem!,Pak hem!,Pak hem!,Surprise,neutral,neutral,neutral
Ik ben eigenlijk op Sebas aan het letten.,Ik ben eigenlijk op Sebas aan het letten.,I'm actually watching Sebas.,Neutral,curiosity,neutral,neutral
Eén.,Eén.,A.,Neutral,neutral,neutral,neutral
Twee.,Twee.,Two.,Neutral,neutral,neutral,neutral
"Ik denk, het voelt eigenlijk best wel oké.","Ik denk, het voelt eigenlijk best wel oké.","I think, it actually feels pretty okay.",Neutral,optimism,happiness,happiness
Het is best wel veel grip.,Het is best wel veel grip.,It's quite a lot of grip.,Neutral,realization,surprise,surprise
Lekker aan het steppen.,Lekker aan het steppen.,Enjoying the scooter ride.,Happiness,joy,happiness,happiness
Heel lekker bezig blijven.,Heel lekker bezig blijven.,Keep up the good work.,Happiness,approval,happiness,happiness
Lekker bij het zoepen.,Lekker bij het zoepen.,Delicious with a drink.,Happiness,joy,happiness,happiness
Hoek eruit.,Hoek eruit.,Cut out the corner.,Neutral,neutral,neutral,neutral
Ik heb een klein muziekje in mijn hoofd en dan kunnen we lekker gaan.,Ik heb een klein muziekje in mijn hoofd en dan kunnen we lekker gaan.,I have a little music in my head and then we can go.,Neutral,excitement,happiness,neutral
Eén.,Eén.,A.,Neutral,neutral,neutral,neutral
Twee.,Twee.,Two.,Neutral,neutral,neutral,neutral
En het lijkt een soort aerobics te worden.,En het lijkt een soort aerobics te worden.,And it seems to be becoming some kind of aerobics.,Neutral,realization,surprise,neutral
Ik denk dat je er bent.,Ik denk dat je er bent.,I think you're there.,Neutral,neutral,neutral,neutral
"Ja, stop dan.","Ja, stop dan.","Me, stop day.",Anger,neutral,neutral,neutral
Die moet via deze mysterieuze spiegeldeur.,Die moet via deze mysterieuze spiegeldeur.,That must go through this mysterious mirrored door.,neutral,curiosity,neutral,neutral
"En wat dat inhoudt, je raadt het al, dat weet maar één iemand.","En wat dat inhoudt, je raadt het al, dat weet maar één iemand.","And what that means, you guessed it, only one person knows.",neutral,curiosity,neutral,neutral
Big Brother himself.,Big Brother himself.,Big Brother himself.,neutral,neutral,neutral,neutral
"Welkom terug, je kijkt naar Big Brother.","Welkom terug, je kijkt naar Big Brother.","Welcome back, you're watching Big Brother.",neutral,joy,happiness,neutral
Een nieuw seizoen is aangebroken en zojuist heb je kunnen zien...,Een nieuw seizoen is aangebroken en zojuist heb je kunnen zien...,A new season has arrived and you have just seen...,neutral,excitement,happiness,neutral
dat er al vijf mensen het huis hebben betreden.,dat er al vijf mensen het huis hebben betreden.,that five people have already entered the house.,neutral,realization,surprise,surprise
Eén van die vijf zit opgesloten in het geheime huis.,Eén van die vijf zit opgesloten in het geheime huis.,One of those five is locked in the secret house.,neutral,surprise,surprise,neutral
"Ja, je merkt het al, heel veel is anders dan anders.","Ja, je merkt het al, heel veel is anders dan anders.","Yes, you already notice, a lot is different than usual.",surprise,realization,surprise,surprise
Dat geldt ook voor hoe het spel dit jaar gespeeld moet worden.,Dat geldt ook voor hoe het spel dit jaar gespeeld moet worden.,That also applies to how the game should be played this year.,neutral,neutral,neutral,neutral
"Vorig jaar stond je er helemaal alleen voor, nu niet.","Vorig jaar stond je er helemaal alleen voor, nu niet.","Last year you were all alone, not now.",neutral,realization,surprise,neutral
Big Brother heeft iets totaal anders in gedachten.,Big Brother heeft iets totaal anders in gedachten.,Big Brother has something completely different in mind.,neutral,curiosity,neutral,neutral
Je hebt al kunnen zien dat een aantal mensen...,Je hebt al kunnen zien dat een aantal mensen...,You have already seen that a number of people...,neutral,neutral,neutral,neutral
hun koffers hier in de studio moesten achterlaten.,hun koffers hier in de studio moesten achterlaten.,had to leave their suitcases here in the studio.,neutral,disappointment,sadness,neutral
En één iemand zijn spullen wel mocht meenemen.,En één iemand zijn spullen wel mocht meenemen.,And one person was allowed to take his belongings with him.,neutral,neutral,neutral,neutral
Die koffers zijn inmiddels naar een donkere ruimte gebracht.,Die koffers zijn inmiddels naar een donkere ruimte gebracht.,Those suitcases have now been taken to a dark room.,neutral,curiosity,neutral,neutral
En dat zal ongetwijfeld een reden hebben.,En dat zal ongetwijfeld een reden hebben.,And there will undoubtedly be a reason for that.,anger,curiosity,neutral,neutral
"Ja, dat denk ik ook.","Ja, dat denk ik ook.","Yes, I think so too.",neutral,agreement,neutral,neutral
"Ja, ik wil graag nog heel even zeggen...","Ja, ik wil graag nog heel even zeggen...","Yes, I would just like to say...",neutral,anticipation,happiness,sadness
"dat je ons dag in, dag uit op onze socials kunt volgen.","dat je ons dag in, dag uit op onze socials kunt volgen.","that you can follow us day in, day out on our social media.",neutral,neutral,neutral,neutral
En na deze grande opening natuurlijk ook op de streams.,En na deze grande opening natuurlijk ook op de streams.,"And after this grand opening, of course also on the streams.",neutral,excitement,happiness,neutral
Wij gaan hier straks de volgende nieuwe bewoner verwelkomen...,Wij gaan hier straks de volgende nieuwe bewoner verwelkomen...,We will soon welcome the next new resident here...,neutral,anticipation,happiness,neutral
maar niet voordat we eerst gekeken hebben...,maar niet voordat we eerst gekeken hebben...,but not before we first look...,surprise,curiosity,neutral,neutral
hoe de eerste bewoners zich lekker aan het zettelen zijn.,hoe de eerste bewoners zich lekker aan het zettelen zijn.,how the first residents are settling down comfortably.,neutral,curiosity,neutral,neutral
"Vertel, wie laat je achter, wat doe je?","Vertel, wie laat je achter, wat doe je?","Tell me, who are you leaving behind, what are you doing?",neutral,curiosity,neutral,neutral
"Ofwel, wie reprenteer je? Ben je single?","Ofwel, wie reprenteer je? Ben je single?","In other words, who are you reprising? Are you single?",disgust,curiosity,neutral,anger
Ik ben single.,Ik ben single.,I'm single.,neutral,neutral,neutral,neutral
"Ja, wie ik achterlaat, zijn vrienden en familie.","Ja, wie ik achterlaat, zijn vrienden en familie.","Yes, those I leave behind are friends and family.",sadness,sadness,sadness,sadness
En daarnaast doe ik modellenwerk.,En daarnaast doe ik modellenwerk.,And I also do modeling.,neutral,neutral,neutral,neutral
Modellenwerk?,Modellenwerk?,Modeling?,neutral,curiosity,neutral,neutral
"O, en wat heb je voor opdrachten al een beetje gehad?","O, en wat heb je voor opdrachten al een beetje gehad?","Oh, and what kind of assignments have you already had?",surprise,curiosity,neutral,surprise
